method,CER,WER
HR_Original,0.2472299532975332,0.5764804813853582
SwinIR_finetune_loss4_PSNRbest,0.26968486770570704,0.6255362767042029
SwinIR_finetune_loss4_SSIMbest,0.26975991393630816,0.6274581718405642
SwinIR_finetune_loss1_SSIMbest,0.2771742263689437,0.6349703137069892
SwinIR_finetune_loss1_PSNRbest,0.2833051887816621,0.6369514198689217
LR_Bicubic,0.28751270369680876,0.6497782364611879
SwinIR_scratch_loss4_SSIMbest,0.30409325164424567,0.6700740506898842
SwinIR_scratch_loss4_PSNRbest,0.3045964859128813,0.6700933251226792
SwinIR_scratch_loss1_SSIMbest,0.30612489282103206,0.672929397363565
LR_raw,0.3066528236821078,0.6496141006269492
SwinIR_scratch_loss1_PSNRbest,0.31145931089974654,0.6785595769486515
SRCNN_loss4_SSIMbest,0.33223197822751743,0.7117215542966463
SRCNN_loss4_PSNRbest,0.33365003331480353,0.713816713099433
SRCNN_loss1_SSIMbest,0.39554830594940865,0.7968487798699992
SRCNN_loss1_PSNRbest,0.4032378078185601,0.8058088367299756
